,timestamp,cpu_usage [%],mem_usage [%]
0,1.0060191601514816,11.5,34.7
0,2.0194206573069096,8.3,34.7
0,3.0299762841314077,9.5,34.7
0,4.040322832763195,7.9,34.7
0,5.050703899934888,9.8,34.7
0,6.061054447665811,11.4,34.7
0,7.07228964753449,9.8,34.7
0,8.0822863727808,6.8,34.7
0,9.09264969266951,9.4,34.7
0,10.104811176657677,6.1,34.7
0,11.11507805250585,11.2,34.7
0,12.1241787802428,8.6,34.7
0,13.134175639599562,10.9,34.7
0,14.144317360594869,9.4,34.7
0,15.155261976644397,8.1,34.7
0,16.166961597278714,8.1,34.7
0,17.177128951996565,6.6,34.7
0,18.187474040314555,7.8,34.7
0,19.199091378599405,7.1,34.7
0,20.20903722010553,14.5,33.1
0,21.21999491378665,11.7,33.0
0,22.23052423633635,6.6,33.0
0,23.23883616924286,8.1,33.0
0,24.24842280894518,8.9,33.0
0,25.25869496166706,6.9,33.0
0,26.26932568103075,7.1,33.0
0,27.28091488778591,6.7,33.0
0,28.29201473109424,9.2,33.0
0,29.30277819558978,8.5,33.0
