tc,exploit_time / update_interval,attacks_succeded,attacks_unsucceded,uptime,downtime
1,0.1,5,27,748,23.15
2,0.2,4,27,577,29.0
3,0.5,2,13,716,42.0
4,1.0,1,7,421,31.0
9,0.1,7,52,248,19.0
10,0.2,7,36,172,11.5
11,0.5,2,16,281,27.0
12,1.0,1,8,321,27.0
13,0.0,27,1,154,13.0
15,0.1,13,90,594,74.4
16,0.2,5,35,277,25.0
17,0.5,1,27,496,54.0
18,1.0,2,15,485,43.0
23,0.1,3,19,87,18.0
24,0.2,3,18,124,17.0
25,0.5,2,14,270,33.6
26,1.0,152,910,36117,3265.0
27,0.0,35,4,230,108.0
29,0.0,29,3,59,58.0
32,0.0,5,23,191,5.8
34,0.0,3,21,133,11.8
35,0.0,64,5,156,45.0
37,0.0,129,31,204,280.0
