,timestamp,cpu_usage [%],mem_usage [%]
0,1.0061870273202658,5.6,33.6
0,2.0191730335354805,8.4,33.6
0,3.028925009071827,8.1,33.6
0,4.040046144276857,7.9,33.6
0,5.05096709728241,9.4,33.6
0,6.062456799671054,11.3,33.6
0,7.073344716802239,7.6,33.6
0,8.082101000472903,11.7,33.7
0,9.093226024881005,7.2,33.7
0,10.10434839501977,8.8,33.7
0,11.116675965487957,9.5,33.7
0,12.127903249114752,8.2,33.7
0,13.14043964445591,7.3,33.7
0,14.151135116815567,10.5,33.7
0,15.1621263474226,8.8,33.7
0,16.17298398911953,7.2,33.7
0,17.183844605460763,7.6,33.7
0,18.195076789706945,12.0,33.7
0,19.205019265413284,4.8,33.7
0,20.21642418205738,10.6,33.7
0,21.227084323763847,9.0,33.7
0,22.23757502436638,12.5,34.0
0,23.247650342062116,20.1,33.7
0,24.255280455574393,11.5,33.7
0,25.264295004308224,27.1,33.7
0,26.274293577298522,33.8,34.4
0,27.284486182034016,33.1,33.7
0,28.295042000710964,36.7,33.8
0,29.30548652075231,14.2,33.6
0,30.316183164715767,7.4,33.6
0,31.326815674081445,5.5,33.6
0,32.33722731284797,12.1,33.6
0,33.347698552533984,6.9,33.6
0,34.35725650936365,7.5,33.6
0,35.368564046919346,7.6,33.6
0,36.3795953374356,10.0,33.6
0,37.39072434604168,8.0,33.6
0,38.402835765853524,9.2,33.6
0,39.414586612954736,8.4,33.6
0,40.42697107233107,8.8,33.6
0,41.4379526283592,11.1,33.6
0,42.45034310594201,9.8,33.6
0,43.46280566602945,9.0,33.7
0,44.475394293665886,7.1,33.7
0,45.487286357209086,10.4,33.7
0,46.499214651063085,8.3,33.7
0,47.51056476868689,8.9,33.7
0,48.522399516776204,8.8,33.7
0,49.53354935348034,7.7,33.7
0,50.5442198831588,8.1,33.7
0,51.557095071300864,8.8,33.7
0,52.56934200972319,8.7,33.7
0,53.58244692534208,7.6,33.7
0,54.59363470040262,10.3,33.7
0,55.60419561341405,31.5,34.1
0,56.61600284278393,31.2,34.2
0,57.62758916243911,30.9,33.8
0,58.64174572378397,36.4,34.3
0,59.653584064915776,10.3,33.6
0,60.66482553258538,9.4,33.6
0,61.67582292109728,7.4,33.6
0,62.687669517472386,6.8,33.6
0,63.699365604668856,8.2,33.7
0,64.70999492891133,8.2,33.7
0,65.72247100062668,10.5,33.7
0,66.73412466607988,9.8,33.6
0,67.7457715049386,11.6,33.7
0,68.75715692900121,9.0,33.7
0,69.76900057308376,7.3,33.7
0,70.78255037777126,9.6,33.7
0,71.79326203651726,8.7,33.7
0,72.8056621979922,12.6,33.9
0,73.81714640930295,21.3,33.7
0,74.82580109126866,7.8,33.7
0,75.83853731304407,8.4,33.7
0,76.84992636740208,8.8,33.7
0,77.86229932680726,11.2,33.7
0,78.87473768740892,8.8,33.7
0,79.88724311254919,8.6,33.7
0,80.90076567046344,8.9,33.7
0,81.91446378082037,9.1,33.7
0,82.92564425244927,9.4,33.7
0,83.93757737800479,7.4,33.7
0,84.94799560122192,9.0,33.7
0,85.95936074852943,35.2,34.0
0,86.96964960545301,31.3,33.8
0,87.98078775405884,34.0,34.1
0,88.99230540171266,32.4,33.7
0,90.00442183203995,8.3,33.7
0,91.02044696174562,15.6,33.7
0,92.03150307759643,9.9,33.7
0,93.04139722511172,8.1,33.7
0,94.05271377973258,8.0,33.7
0,95.06295229308307,7.5,33.7
0,96.07408297806978,9.0,33.7
0,97.08509047701955,8.9,33.7
0,98.09390666335821,8.4,33.7
0,99.10602689348161,9.4,33.7
0,100.117375805974,8.2,33.7
0,101.12910566665232,7.8,33.7
0,102.14084707386792,9.9,33.7
0,103.15177177265286,8.1,33.7
0,104.16179744899273,8.4,33.7
0,105.17334238998592,6.6,33.7
0,106.18480560556054,9.0,33.7
0,107.19670184515417,7.6,33.7
0,108.2084492854774,10.1,33.7
0,109.22072997875512,10.0,33.7
0,110.23519061692059,8.3,33.7
0,111.24607730656862,8.9,33.7
0,112.2580665498972,12.0,33.7
0,113.26952479034662,8.6,33.7
0,114.28367140889168,9.3,33.7
0,115.29501310363412,12.0,33.8
0,116.30379901826382,7.3,33.7
0,117.3151003420353,7.0,33.7
0,118.32572924159467,8.8,33.7
0,119.33657817542553,10.4,33.7
0,120.34938619658351,8.7,33.7
0,121.3620386235416,6.8,33.7
0,122.3746059127152,7.8,33.7
0,123.38688789308071,12.0,33.9
0,124.40125994198024,20.3,33.7
0,125.40991681069136,11.5,33.7
0,126.42120646499097,7.7,33.7
0,127.43352375179529,10.5,33.7
0,128.4443599320948,7.4,33.7
0,129.4568286333233,8.1,33.7
0,130.46560082398355,7.1,33.7
0,131.4773669168353,6.5,33.7
0,132.48905942589045,9.2,33.7
0,133.50099968537688,16.6,33.7
0,134.5128768980503,12.0,33.7
0,135.52451841533184,11.4,33.7
0,136.5365761257708,8.6,33.7
0,137.5487185958773,8.3,33.7
0,138.56081062927842,7.9,33.7
0,139.57293262146413,9.3,33.7
0,140.58520797267556,7.6,33.7
0,141.59743661805987,7.3,33.7
0,142.60956053435802,10.4,33.8
0,143.62189708463848,6.9,33.8
0,144.63357021287084,24.5,34.1
0,145.64356646314263,41.7,34.3
0,146.6542924772948,52.3,34.4
