,timestamp,cpu_usage [%],mem_usage [%]
0,1.0047726444900036,8.1,32.9
0,2.01721428707242,5.0,32.9
0,3.0277327336370945,8.0,32.9
0,4.038728728890419,5.5,32.9
0,5.048709822818637,11.7,33.1
0,6.057877287268639,41.3,33.3
0,7.068466626107693,32.5,32.9
0,8.07846918143332,44.4,33.6
0,9.088779605925083,37.4,32.9
0,10.098207477480173,11.1,32.9
0,11.10895480774343,30.0,33.2
0,12.120049521327019,32.0,33.2
0,13.13171273469925,27.8,33.3
0,14.143227370455861,29.9,33.3
0,15.154677907004952,7.6,32.9
0,16.166764687746763,4.5,32.8
0,17.17943732626736,3.0,32.8
0,18.19180477410555,4.3,32.8
0,19.203371196985245,43.9,32.9
0,20.2141652405262,37.0,33.5
0,21.225194236263633,36.7,33.1
0,22.236381942406297,30.7,33.6
0,23.248252553865314,3.8,32.9
0,24.260650353506207,9.1,33.0
0,25.272244540974498,3.0,33.0
0,26.284286241978407,4.3,33.0
0,27.296854585409164,4.0,33.0
0,28.308726154267788,4.0,33.0
0,29.320205114781857,35.1,32.9
0,30.33176395855844,39.3,33.3
0,31.341152861714363,32.6,33.4
0,32.35227861814201,29.5,33.4
0,33.36497342586517,14.3,32.9
0,34.37769493460655,7.1,32.9
0,35.39009989053011,5.5,32.9
0,36.401695312932134,7.5,32.9
0,37.41373782232404,4.0,32.9
0,38.42652180045843,4.8,32.9
0,39.43893404863775,6.6,33.0
0,40.451052164658904,19.4,33.3
0,41.46391763724387,54.9,33.9
0,42.474634090438485,57.6,33.4
0,43.48435006663203,61.1,34.0
0,44.494467094540596,58.6,34.3
0,45.50661135837436,57.9,33.6
0,46.517461236566305,34.2,34.9
0,47.529498709365726,26.1,34.9
0,48.54068070277572,9.0,34.9
0,49.55128003843129,6.1,34.9
0,50.563883401453495,11.0,34.9
0,51.575362741947174,8.7,34.9
0,52.58600065484643,8.0,34.9
0,53.59746635891497,9.3,34.9
0,54.60886411368847,8.9,34.9
0,55.62004077620804,16.8,35.3
0,56.629061898216605,32.7,35.0
0,57.63986938819289,28.1,35.3
0,58.65137828141451,39.8,35.6
0,59.6611468475312,47.8,35.4
0,60.67362701706588,7.5,34.9
0,61.68574507907033,2.8,34.9
0,62.69824058189988,30.2,35.3
0,63.708336353302,31.2,35.6
0,64.716912381351,31.3,34.9
0,65.72866629436612,32.7,34.9
0,66.74143946543336,16.6,34.9
0,67.75329373404384,9.3,34.9
0,68.76558578200638,3.3,34.9
0,69.77719630300999,3.8,34.9
0,70.78886224702,6.0,34.9
0,71.80137951485813,6.0,34.9
0,72.81351758539677,2.0,34.9
0,73.82499307021499,6.5,34.9
0,74.83649049699306,8.4,34.9
0,75.84723710268736,12.4,34.9
0,76.8575459420681,8.5,34.9
0,77.86944859102368,35.5,35.2
0,78.88116212934256,34.2,35.1
0,79.89297600835562,28.0,35.2
0,80.90454595163465,30.6,35.2
0,81.91628397069871,9.1,34.9
0,82.93012032844126,3.3,34.9
0,83.94175419397652,3.6,34.9
0,84.95470237731934,2.5,34.9
0,85.96600740216672,5.4,34.9
0,86.98296586796641,6.3,34.9
0,88.00539378263056,34.6,35.3
0,89.01667130179703,36.7,35.3
0,90.0289867259562,32.6,35.3
0,91.04076963104308,31.2,35.3
0,92.0526494383812,5.6,34.9
0,93.06455022469163,7.5,34.9
0,94.0771737974137,2.3,34.9
0,95.08896607905626,2.0,34.9
0,96.10143627040088,6.8,34.9
0,97.11370141431689,5.3,34.9
0,98.12483706139028,15.3,35.3
0,99.13256053067744,34.4,35.2
0,100.14381132647395,32.9,35.3
0,101.15590090304613,39.2,35.2
0,102.16838623769581,36.5,35.3
0,103.180533926934,30.4,35.3
0,104.19741753488779,23.5,34.9
0,105.20899390988052,2.0,34.9
0,106.22080234438181,5.7,34.9
0,107.23329599574208,4.6,34.9
0,108.24524693749845,3.0,34.9
0,109.25752475485206,5.7,34.9
0,110.26900803856552,32.9,35.3
0,111.27999429777265,37.2,35.1
0,112.29040713049471,32.4,35.2
0,113.30124958604574,32.3,34.9
0,114.31314318627119,24.6,34.9
0,115.32515379413962,6.1,34.9
0,116.33729137480259,4.8,34.9
0,117.34959612973034,6.0,34.9
0,118.36146902292967,3.8,34.9
0,119.37351955100894,6.8,34.9
0,120.3850418664515,1.8,34.9
0,121.39770900644362,7.3,34.9
0,122.41131662204862,6.3,34.9
0,123.42298239469528,37.0,35.2
0,124.43527727760375,32.7,34.9
0,125.44740954041481,35.0,35.3
0,126.45708038657904,31.1,35.0
0,127.46895939484239,32.7,35.0
0,128.48051602952182,25.1,34.9
0,129.49324741400778,5.0,34.9
0,130.50629099272192,2.5,34.9
0,131.51926582865417,6.1,34.9
0,132.53038973733783,4.3,34.9
0,133.54290527291596,5.1,34.9
0,134.5574190467596,33.2,35.3
0,135.568500071764,34.3,35.3
0,136.57663807459176,35.0,35.0
0,137.58832372166216,29.2,35.5
0,138.5997414290905,16.8,35.3
0,139.61099683493376,31.6,35.2
0,140.62295897863805,28.1,35.3
0,141.63485874980688,38.1,33.3
0,142.64408429898322,18.7,32.8
0,143.6561650056392,3.8,32.9
