,timestamp,cpu_usage [%],mem_usage [%]
0,1.006066970527172,11.3,34.8
0,2.018992433324456,8.4,34.9
0,3.0294810384511948,7.8,34.8
0,4.03869654238224,7.9,34.8
0,5.0498728565871716,8.1,34.8
0,6.061002135276794,9.6,34.9
0,7.071380322799087,25.5,35.0
0,8.081236334517598,46.2,35.9
0,9.090300614014268,33.6,35.2
0,10.098985973745584,32.7,35.5
0,11.108901917934418,17.4,34.8
0,12.118038929998875,8.5,34.8
0,13.12927864678204,6.1,34.9
0,14.139546182006598,10.8,34.9
0,15.146954050287604,10.5,34.9
0,16.15848589874804,6.6,34.9
0,17.169657023623586,8.9,34.9
0,18.179924566298723,8.1,34.9
0,19.18994002044201,6.6,34.9
0,20.200522281229496,12.3,34.9
0,21.211486062034965,9.6,34.9
0,22.222992973402143,10.6,34.9
0,23.23283557407558,7.8,34.9
0,24.240127000957727,13.1,34.9
0,25.248234312981367,9.9,34.9
0,26.258234867826104,9.8,34.9
0,27.26897481828928,8.8,34.9
0,28.279060438275337,6.9,34.9
0,29.289577946066856,9.6,34.9
0,30.299598978832364,9.5,34.9
0,31.310973266139627,9.2,34.9
0,32.32195261120796,9.8,34.9
0,33.33091722242534,7.6,34.9
0,34.34112390503287,7.5,34.9
0,35.35055744275451,14.0,34.9
0,36.36116643063724,8.5,34.9
0,37.371214447543025,12.5,34.9
0,38.38167868182063,7.4,34.9
0,39.392236998304725,6.3,34.9
0,40.40320870839059,7.4,34.9
0,41.41368513926864,7.7,34.9
0,42.425471583381295,8.3,34.9
0,43.43669152259827,6.4,34.9
0,44.44760650768876,12.7,34.9
0,45.459409322589636,6.6,34.9
0,46.47044524922967,7.9,34.9
0,47.48144793137908,7.1,34.9
0,48.49224684201181,9.1,34.9
0,49.503070909529924,8.1,34.9
0,50.51446079462767,19.6,33.2
0,51.52566613815725,8.7,33.2
0,52.53696426190436,8.9,33.2
0,53.549408650025725,8.7,33.2
0,54.55802399478853,7.1,33.2
0,55.570051001384854,9.0,33.2
0,56.581848222762346,8.1,33.2
0,57.59335621446371,7.3,33.2
0,58.60402464680374,18.6,33.6
0,59.614233979955316,14.0,33.2
0,60.62487917393446,10.3,33.2
0,61.63455607742071,10.1,33.2
0,62.64571635425091,10.2,33.2
0,63.65711488947272,9.2,33.2
0,64.66869991831481,10.5,33.2
0,65.6807236019522,8.8,33.2
0,66.69232993014157,8.7,33.2
0,67.70518336631358,30.7,33.4
0,68.71644287370145,33.1,33.4
0,69.72755900211632,32.4,33.5
0,70.73771272599697,32.6,33.5
0,71.74939664825797,14.2,33.1
0,72.76154813356698,7.6,33.2
0,73.77392413467169,9.4,33.2
