,timestamp,cpu_usage [%],mem_usage [%]
0,1.0064222048968077,7.3,34.7
0,2.018204279243946,8.9,34.7
0,3.028064424172044,11.3,34.7
0,4.04011395201087,8.8,34.7
0,5.050597241148353,7.2,34.7
0,6.0614112969487906,7.4,34.7
0,7.0712938364595175,7.2,34.7
0,8.080736100673676,8.6,34.7
0,9.091079428792,9.3,34.7
0,10.103151211515069,11.4,34.7
0,11.115784728899598,9.7,34.7
0,12.12751716002822,7.8,34.7
0,13.139129253104329,11.9,34.7
0,14.150935681536794,8.9,34.7
0,15.162816381081939,7.4,34.7
0,16.175344118848443,7.6,34.7
0,17.18726135417819,11.0,34.7
0,18.199544448405504,12.0,34.7
0,19.212875533849,10.2,34.7
0,20.224015472456813,10.7,34.7
0,21.232112623751163,9.0,34.7
0,22.243459057062864,9.4,34.7
0,23.255530685186386,10.1,34.8
0,24.268913684412837,8.8,34.7
0,25.28125998750329,18.1,34.8
0,26.29212398082018,36.3,35.6
0,27.30261344090104,41.9,35.0
0,28.31277272105217,31.8,34.9
0,29.322999948635697,23.2,34.7
0,30.333745796233416,11.9,34.8
0,31.347605789080262,7.8,34.8
0,32.36052932031453,8.6,34.8
0,33.37244273349643,11.3,34.8
0,34.384573901072145,7.2,34.8
0,35.397037368267775,8.0,34.8
0,36.40865859948099,6.4,34.7
0,37.422486532479525,6.6,34.7
0,38.43497630022466,10.4,34.7
0,39.446209805086255,10.2,34.8
0,40.456095384433866,9.4,34.7
0,41.4679870121181,7.8,34.7
0,42.47917836345732,10.2,34.8
0,43.48916516266763,15.1,34.8
0,44.50065972469747,9.5,34.8
0,45.512916231527925,6.8,34.8
0,46.52450743317604,9.1,34.8
0,47.53619386814535,9.5,34.8
0,48.547870045527816,9.9,34.8
0,49.5591291282326,8.8,34.8
0,50.571127420291305,10.4,34.8
0,51.582175532355905,7.3,34.8
0,52.59097966179252,9.8,34.8
0,53.604134771972895,6.6,34.8
0,54.61517029814422,8.1,34.8
0,55.62603691779077,19.1,35.1
0,56.63593708910048,32.7,35.0
